model,location,target_type,weights,forecast_date,nmod
epiforecasts-EpiExpert_Rt,CZ,Cases,0.314233873864472,2021-05-10,3
epiforecasts-EpiExpert_Rt,CZ,Deaths,0.351564979277498,2021-05-10,3
epiforecasts-EpiExpert_Rt,GB,Deaths,0.27336898037307,2021-05-10,3
epiforecasts-EpiExpert_Rt,PL,Deaths,0.240639989321408,2021-05-10,3
epiforecasts-EpiNow2,CZ,Cases,0.333103457514102,2021-05-10,3
epiforecasts-EpiNow2,CZ,Deaths,0.353792630532263,2021-05-10,3
epiforecasts-EpiNow2,GB,Deaths,0.388206278263089,2021-05-10,3
epiforecasts-EpiNow2,PL,Cases,0.448530978006409,2021-05-10,3
IEM_Health-CovidProject,FR,Cases,0.321136602240365,2021-05-10,3
IEM_Health-CovidProject,GB,Cases,0.431889101863235,2021-05-10,3
ILM-EKF,CZ,Cases,0.352662668621426,2021-05-10,3
ILM-EKF,FR,Cases,0.342947759519816,2021-05-10,3
ILM-EKF,FR,Deaths,0.238099916200688,2021-05-10,3
ILM-EKF,PL,Cases,0.268610870738252,2021-05-10,3
LANL-GrowthRate,GB,Cases,0.293735358033363,2021-05-10,3
LANL-GrowthRate,PL,Deaths,0.334335761844415,2021-05-10,3
MOCOS-agent1,PL,Cases,0.282858151255339,2021-05-10,3
MOCOS-agent1,PL,Deaths,0.425024248834177,2021-05-10,3
RobertWalraven-ESG,CZ,Deaths,0.294642390190238,2021-05-10,3
RobertWalraven-ESG,DE,Deaths,0.322417372332284,2021-05-10,3
RobertWalraven-ESG,FR,Deaths,0.565909247819364,2021-05-10,3
UMass-MechBayes,GB,Deaths,0.338424741363841,2021-05-10,3
UMass-SemiMech,DE,Cases,0.252487128499512,2021-05-10,3
UNIPV-BayesINGARCHX,DE,Cases,0.357627034387352,2021-05-10,3
USC-SIkJalpha,DE,Deaths,0.343358462428753,2021-05-10,3
USC-SIkJalpha,FR,Cases,0.335915638239819,2021-05-10,3
USC-SIkJalpha,FR,Deaths,0.195990835979948,2021-05-10,3
USC-SIkJalpha,GB,Cases,0.274375540103402,2021-05-10,3
bisop-seirfilter,CZ,Deaths,0.346325601675574,2021-05-17,3
epiforecasts-EpiExpert_direct,GB,Cases,0.255387610143661,2021-05-17,3
epiforecasts-EpiExpert_direct,GB,Deaths,0.293196266823823,2021-05-17,3
epiforecasts-EpiNow2,CZ,Cases,0.342649363412592,2021-05-17,3
epiforecasts-EpiNow2,CZ,Deaths,0.389825882849397,2021-05-17,3
epiforecasts-EpiNow2,GB,Deaths,0.319178682488485,2021-05-17,3
epiforecasts-EpiNow2,PL,Cases,0.41119992356008,2021-05-17,3
HZI-AgeExtendedSEIR,DE,Deaths,0.314590417064373,2021-05-17,3
IEM_Health-CovidProject,FR,Cases,0.308059853258302,2021-05-17,3
IEM_Health-CovidProject,GB,Cases,0.450497560943821,2021-05-17,3
ILM-EKF,CZ,Cases,0.36635363271521,2021-05-17,3
LANL-GrowthRate,CZ,Deaths,0.26384851547503,2021-05-17,3
LANL-GrowthRate,FR,Cases,0.365742776651191,2021-05-17,3
LANL-GrowthRate,FR,Deaths,0.248791116798536,2021-05-17,3
LANL-GrowthRate,GB,Cases,0.294114828912519,2021-05-17,3
LANL-GrowthRate,PL,Deaths,0.346570410421642,2021-05-17,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.361289802605336,2021-05-17,3
MIT_CovidAnalytics-DELPHI,DE,Deaths,0.351832757807907,2021-05-17,3
MOCOS-agent1,PL,Cases,0.280121391831436,2021-05-17,3
MOCOS-agent1,PL,Deaths,0.383666469376453,2021-05-17,3
MUNI_DMS-SEIAR,CZ,Cases,0.290997003872198,2021-05-17,3
PL_GRedlarski-DistrictsSum,PL,Cases,0.308678684608484,2021-05-17,3
RobertWalraven-ESG,FR,Deaths,0.426938020166219,2021-05-17,3
UMass-MechBayes,FR,Deaths,0.324270863035245,2021-05-17,3
UMass-MechBayes,GB,Deaths,0.387625050687692,2021-05-17,3
UMass-MechBayes,PL,Deaths,0.269763120201905,2021-05-17,3
UMass-SemiMech,DE,Cases,0.308543239830827,2021-05-17,3
UMass-SemiMech,DE,Deaths,0.333576825127721,2021-05-17,3
UNIPV-BayesINGARCHX,DE,Cases,0.330166957563837,2021-05-17,3
USC-SIkJalpha,FR,Cases,0.326197370090507,2021-05-17,3
epiforecasts-EpiExpert,DE,Cases,0.252406475260913,2021-05-24,3
epiforecasts-EpiExpert,DE,Deaths,0.326463586718295,2021-05-24,3
epiforecasts-EpiExpert_direct,DE,Deaths,0.318668915836625,2021-05-24,3
epiforecasts-EpiExpert_direct,GB,Deaths,0.36817779869841,2021-05-24,3
epiforecasts-EpiExpert_Rt,DE,Cases,0.31758622871222,2021-05-24,3
epiforecasts-EpiExpert_Rt,GB,Cases,0.326920000594875,2021-05-24,3
epiforecasts-EpiNow2,CZ,Cases,0.358095153030348,2021-05-24,3
epiforecasts-EpiNow2,PL,Cases,0.279798329992234,2021-05-24,3
IEM_Health-CovidProject,GB,Cases,0.390855116532053,2021-05-24,3
ILM-EKF,CZ,Cases,0.353717079019524,2021-05-24,3
ILM-EKF,FR,Cases,0.426682851186228,2021-05-24,3
ILM-EKF,FR,Deaths,0.306640195023161,2021-05-24,3
ILM-EKF,PL,Cases,0.378670533923713,2021-05-24,3
LANL-GrowthRate,CZ,Deaths,0.31423063095953,2021-05-24,3
LANL-GrowthRate,DE,Deaths,0.35486749744508,2021-05-24,3
LANL-GrowthRate,FR,Cases,0.263847263949805,2021-05-24,3
LANL-GrowthRate,GB,Cases,0.282224882873072,2021-05-24,3
LANL-GrowthRate,GB,Deaths,0.308479433750909,2021-05-24,3
LANL-GrowthRate,PL,Deaths,0.270947244461829,2021-05-24,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.430007296026867,2021-05-24,3
MOCOS-agent1,PL,Deaths,0.370976914768018,2021-05-24,3
MUNI_DMS-SEIAR,CZ,Cases,0.288187767950128,2021-05-24,3
PL_GRedlarski-DistrictsSum,PL,Cases,0.341531136084053,2021-05-24,3
RobertWalraven-ESG,CZ,Deaths,0.335112803945889,2021-05-24,3
RobertWalraven-ESG,FR,Deaths,0.321364019616704,2021-05-24,3
UMass-MechBayes,CZ,Deaths,0.350656565094581,2021-05-24,3
UMass-MechBayes,FR,Deaths,0.371995785360136,2021-05-24,3
UMass-MechBayes,GB,Deaths,0.323342767550681,2021-05-24,3
UMass-MechBayes,PL,Deaths,0.358075840770154,2021-05-24,3
USC-SIkJalpha,FR,Cases,0.309469884863967,2021-05-24,3
epiforecasts-EpiExpert,DE,Deaths,0.290915674585675,2021-05-31,3
epiforecasts-EpiExpert,GB,Cases,0.310227885166378,2021-05-31,3
epiforecasts-EpiExpert,GB,Deaths,0.272992677472544,2021-05-31,3
epiforecasts-EpiExpert_direct,GB,Cases,0.31190900720762,2021-05-31,3
epiforecasts-EpiExpert_direct,GB,Deaths,0.446666473334563,2021-05-31,3
epiforecasts-EpiExpert_Rt,DE,Cases,0.312595449463112,2021-05-31,3
epiforecasts-EpiNow2,CZ,Cases,0.362003169694033,2021-05-31,3
epiforecasts-EpiNow2,PL,Cases,0.328756044995318,2021-05-31,3
HZI-AgeExtendedSEIR,DE,Deaths,0.319873995641529,2021-05-31,3
IEM_Health-CovidProject,FR,Cases,0.250140426629773,2021-05-31,3
IEM_Health-CovidProject,GB,Cases,0.377863107626002,2021-05-31,3
ILM-EKF,CZ,Cases,0.356579302493818,2021-05-31,3
ILM-EKF,CZ,Deaths,0.240735158563621,2021-05-31,3
ILM-EKF,FR,Cases,0.427045981875239,2021-05-31,3
ILM-EKF,FR,Deaths,0.303463735728049,2021-05-31,3
ILM-EKF,PL,Cases,0.355688510259762,2021-05-31,3
ILM-EKF,PL,Deaths,0.262764383017057,2021-05-31,3
itwm-dSEIR,DE,Cases,0.299095355927573,2021-05-31,3
itwm-dSEIR,DE,Deaths,0.389210329772796,2021-05-31,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.388309194609315,2021-05-31,3
MOCOS-agent1,PL,Cases,0.31555544474492,2021-05-31,3
MOCOS-agent1,PL,Deaths,0.343152734516956,2021-05-31,3
MUNI-ARIMA,FR,Deaths,0.315617797616901,2021-05-31,3
MUNI_DMS-SEIAR,CZ,Cases,0.281417527812149,2021-05-31,3
RobertWalraven-ESG,CZ,Deaths,0.37785110970328,2021-05-31,3
UMass-MechBayes,CZ,Deaths,0.381413731733099,2021-05-31,3
UMass-MechBayes,FR,Deaths,0.38091846665505,2021-05-31,3
UMass-MechBayes,GB,Deaths,0.280340849192893,2021-05-31,3
UMass-MechBayes,PL,Deaths,0.394082882465988,2021-05-31,3
USC-SIkJalpha,FR,Cases,0.322813591494988,2021-05-31,3
epiforecasts-EpiExpert,GB,Deaths,0.351003057900068,2021-06-07,3
epiforecasts-EpiExpert_direct,GB,Deaths,0.345341633155584,2021-06-07,3
epiforecasts-EpiExpert_Rt,DE,Cases,0.287293050480458,2021-06-07,3
epiforecasts-EpiNow2,CZ,Cases,0.348070145485839,2021-06-07,3
epiforecasts-EpiNow2,PL,Cases,0.321538710869791,2021-06-07,3
IEM_Health-CovidProject,GB,Cases,0.319649629572937,2021-06-07,3
ILM-EKF,CZ,Cases,0.314323365377805,2021-06-07,3
ILM-EKF,FR,Cases,0.340691012693966,2021-06-07,3
ILM-EKF,FR,Deaths,0.319781348710083,2021-06-07,3
ILM-EKF,PL,Cases,0.362663469460725,2021-06-07,3
ILM-EKF,PL,Deaths,0.311899897262582,2021-06-07,3
itwm-dSEIR,DE,Deaths,0.333943742929266,2021-06-07,3
LANL-GrowthRate,CZ,Deaths,0.328625109532464,2021-06-07,3
LANL-GrowthRate,DE,Deaths,0.310096446981797,2021-06-07,3
LANL-GrowthRate,GB,Cases,0.294902538142133,2021-06-07,3
LANL-GrowthRate,GB,Deaths,0.303655308944349,2021-06-07,3
LANL-GrowthRate,PL,Deaths,0.341251646859218,2021-06-07,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.346134708367165,2021-06-07,3
MOCOS-agent1,PL,Cases,0.315797819669484,2021-06-07,3
MOCOS-agent1,PL,Deaths,0.3468484558782,2021-06-07,3
MUNI-ARIMA,FR,Deaths,0.334293279088988,2021-06-07,3
MUNI-ARIMA,GB,Cases,0.38544783228493,2021-06-07,3
MUNI_DMS-SEIAR,CZ,Cases,0.337606489136356,2021-06-07,3
RobertWalraven-ESG,CZ,Deaths,0.352725956714838,2021-06-07,3
RobertWalraven-ESG,DE,Cases,0.366572241152377,2021-06-07,3
UMass-MechBayes,CZ,Deaths,0.318648933752698,2021-06-07,3
UMass-MechBayes,FR,Deaths,0.345925372200928,2021-06-07,3
UNIPV-BayesINGARCHX,FR,Cases,0.335356998208887,2021-06-07,3
USC-SIkJalpha,DE,Deaths,0.355959810088937,2021-06-07,3
USC-SIkJalpha,FR,Cases,0.323951989097147,2021-06-07,3
epiforecasts-EpiExpert,DE,Deaths,0.311959605367643,2021-06-14,3
epiforecasts-EpiExpert_Rt,GB,Cases,0.25020679571078,2021-06-14,3
epiforecasts-EpiExpert_Rt,PL,Cases,0.294170562071975,2021-06-14,3
epiforecasts-EpiNow2,CZ,Cases,0.274760383655974,2021-06-14,3
epiforecasts-EpiNow2,FR,Cases,0.313787391717357,2021-06-14,3
epiforecasts-EpiNow2,PL,Cases,0.437785679139825,2021-06-14,3
IEM_Health-CovidProject,GB,Cases,0.307305217185131,2021-06-14,3
IEM_Health-CovidProject,GB,Deaths,0.339907238779621,2021-06-14,3
ILM-EKF,CZ,Cases,0.298380859638803,2021-06-14,3
ILM-EKF,FR,Deaths,0.34532195994637,2021-06-14,3
ILM-EKF,PL,Cases,0.268043758788199,2021-06-14,3
ILM-EKF,PL,Deaths,0.383062423681446,2021-06-14,3
itwm-dSEIR,DE,Cases,0.362619193440973,2021-06-14,3
LANL-GrowthRate,CZ,Deaths,0.270700061594856,2021-06-14,3
LANL-GrowthRate,DE,Deaths,0.255002598276656,2021-06-14,3
LANL-GrowthRate,GB,Deaths,0.286913821870904,2021-06-14,3
LANL-GrowthRate,PL,Deaths,0.272984370622996,2021-06-14,3
MOCOS-agent1,PL,Deaths,0.343953205695558,2021-06-14,3
MUNI-ARIMA,GB,Cases,0.442487987104089,2021-06-14,3
MUNI_DMS-SEIAR,CZ,Cases,0.426858756705223,2021-06-14,3
MUNI_DMS-SEIAR,CZ,Deaths,0.37319590255875,2021-06-14,3
RobertWalraven-ESG,DE,Cases,0.346473958908071,2021-06-14,3
RobertWalraven-ESG,FR,Cases,0.265760961071977,2021-06-14,3
RobertWalraven-ESG,FR,Deaths,0.303874784358426,2021-06-14,3
UMass-MechBayes,CZ,Deaths,0.356104035846394,2021-06-14,3
UMass-MechBayes,FR,Deaths,0.350803255695203,2021-06-14,3
UNIPV-BayesINGARCHX,DE,Cases,0.290906847650956,2021-06-14,3
UNIPV-BayesINGARCHX,FR,Cases,0.420451647210666,2021-06-14,3
USC-SIkJalpha,DE,Deaths,0.433037796355701,2021-06-14,3
USC-SIkJalpha,GB,Deaths,0.373178939349476,2021-06-14,3
epiforecasts-EpiExpert,GB,Cases,0.295970283625368,2021-06-21,3
epiforecasts-EpiExpert_Rt,GB,Cases,0.320974171415373,2021-06-21,3
epiforecasts-EpiExpert_Rt,PL,Cases,0.371975527423804,2021-06-21,3
epiforecasts-EpiNow2,CZ,Cases,0.273380593467361,2021-06-21,3
epiforecasts-EpiNow2,FR,Cases,0.319262185932885,2021-06-21,3
IEM_Health-CovidProject,CZ,Deaths,0.346569787215304,2021-06-21,3
IEM_Health-CovidProject,FR,Cases,0.19307834768382,2021-06-21,3
IEM_Health-CovidProject,FR,Deaths,0.435208595672168,2021-06-21,3
IEM_Health-CovidProject,GB,Deaths,0.372314736188939,2021-06-21,3
ILM-EKF,CZ,Cases,0.351712232373468,2021-06-21,3
ILM-EKF,CZ,Deaths,0.326901891269199,2021-06-21,3
ILM-EKF,FR,Deaths,0.285973710500995,2021-06-21,3
ILM-EKF,PL,Cases,0.26959802833398,2021-06-21,3
ILM-EKF,PL,Deaths,0.355524134170937,2021-06-21,3
itwm-dSEIR,DE,Cases,0.378596485280271,2021-06-21,3
Karlen-pypm,DE,Deaths,0.4514854535707,2021-06-21,3
LANL-GrowthRate,DE,Deaths,0.213231204423592,2021-06-21,3
LANL-GrowthRate,GB,Deaths,0.25428822990224,2021-06-21,3
MOCOS-agent1,PL,Deaths,0.309420694477048,2021-06-21,3
MUNI-ARIMA,GB,Cases,0.383055544959259,2021-06-21,3
MUNI_DMS-SEIAR,CZ,Cases,0.374907174159171,2021-06-21,3
PL_GRedlarski-DistrictsSum,PL,Cases,0.358426444242215,2021-06-21,3
RobertWalraven-ESG,DE,Cases,0.296622999936333,2021-06-21,3
RobertWalraven-ESG,FR,Deaths,0.278817693826837,2021-06-21,3
UMass-MechBayes,PL,Deaths,0.335055171352015,2021-06-21,3
UMass-SemiMech,CZ,Deaths,0.326528321515497,2021-06-21,3
UNIPV-BayesINGARCHX,DE,Cases,0.324780514783396,2021-06-21,3
UNIPV-BayesINGARCHX,FR,Cases,0.487659466383295,2021-06-21,3
USC-SIkJalpha,DE,Deaths,0.335283342005709,2021-06-21,3
USC-SIkJalpha,GB,Deaths,0.373397033908821,2021-06-21,3
epiforecasts-EpiExpert,DE,Deaths,0.310009152967372,2021-06-28,3
epiforecasts-EpiExpert,GB,Cases,0.321185976160186,2021-06-28,3
epiforecasts-EpiExpert,GB,Deaths,0.349134070762762,2021-06-28,3
epiforecasts-EpiExpert_direct,GB,Cases,0.343430203338264,2021-06-28,3
epiforecasts-EpiExpert_direct,GB,Deaths,0.323977685268122,2021-06-28,3
epiforecasts-EpiNow2,CZ,Cases,0.294948378369327,2021-06-28,3
epiforecasts-EpiNow2,CZ,Deaths,0.299689214154694,2021-06-28,3
epiforecasts-EpiNow2,FR,Cases,0.271535965662097,2021-06-28,3
HZI-AgeExtendedSEIR,DE,Deaths,0.338556623583488,2021-06-28,3
IEM_Health-CovidProject,CZ,Cases,0.30696559434297,2021-06-28,3
IEM_Health-CovidProject,FR,Deaths,0.335148246674134,2021-06-28,3
IEM_Health-CovidProject,PL,Cases,0.348159577125218,2021-06-28,3
ILM-EKF,CZ,Cases,0.398086027287702,2021-06-28,3
ILM-EKF,CZ,Deaths,0.356149098675292,2021-06-28,3
ILM-EKF,DE,Cases,0.366728573998715,2021-06-28,3
ILM-EKF,FR,Deaths,0.334323650790681,2021-06-28,3
ILM-EKF,GB,Cases,0.33538382050155,2021-06-28,3
ILM-EKF,PL,Cases,0.328695508685501,2021-06-28,3
itwm-dSEIR,DE,Cases,0.30082011698476,2021-06-28,3
Karlen-pypm,DE,Deaths,0.351434223449141,2021-06-28,3
LANL-GrowthRate,FR,Cases,0.244990670517446,2021-06-28,3
LANL-GrowthRate,FR,Deaths,0.330528102535185,2021-06-28,3
MOCOS-agent1,PL,Cases,0.323144914189281,2021-06-28,3
MOCOS-agent1,PL,Deaths,0.303420107864688,2021-06-28,3
UMass-MechBayes,PL,Deaths,0.361504106758956,2021-06-28,3
UMass-SemiMech,CZ,Deaths,0.344161687170014,2021-06-28,3
UMass-SemiMech,PL,Deaths,0.335075785376357,2021-06-28,3
UNIPV-BayesINGARCHX,DE,Cases,0.332451309016525,2021-06-28,3
UNIPV-BayesINGARCHX,FR,Cases,0.483473363820457,2021-06-28,3
USC-SIkJalpha,GB,Deaths,0.326888243969116,2021-06-28,3
epiforecasts-EpiExpert,GB,Deaths,0.288959436477537,2021-07-05,3
epiforecasts-EpiExpert_direct,GB,Deaths,0.346775794110923,2021-07-05,3
epiforecasts-EpiExpert_Rt,GB,Cases,0.351789067992364,2021-07-05,3
epiforecasts-EpiExpert_Rt,PL,Cases,0.348033875056154,2021-07-05,3
epiforecasts-EpiNow2,CZ,Cases,0.311199817373993,2021-07-05,3
epiforecasts-EpiNow2,CZ,Deaths,0.363057554198043,2021-07-05,3
epiforecasts-EpiNow2,DE,Cases,0.360172350779493,2021-07-05,3
epiforecasts-EpiNow2,FR,Cases,0.387333037851955,2021-07-05,3
epiforecasts-EpiNow2,GB,Cases,0.285033537370991,2021-07-05,3
HZI-AgeExtendedSEIR,DE,Deaths,0.32111678984751,2021-07-05,3
IEM_Health-CovidProject,CZ,Cases,0.354688027032298,2021-07-05,3
IEM_Health-CovidProject,FR,Deaths,0.301659973529153,2021-07-05,3
IEM_Health-CovidProject,PL,Cases,0.346328000363817,2021-07-05,3
ILM-EKF,CZ,Cases,0.33411215559371,2021-07-05,3
ILM-EKF,CZ,Deaths,0.319558903915754,2021-07-05,3
ILM-EKF,DE,Cases,0.328841710298684,2021-07-05,3
ILM-EKF,FR,Cases,0.30409406117289,2021-07-05,3
ILM-EKF,FR,Deaths,0.336007670846331,2021-07-05,3
ILM-EKF,GB,Cases,0.363177394636645,2021-07-05,3
