model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date,model_type
CovidMetrics-epiBATS,DE,Cases,2021-08-09,3,23881.77,5300.37869565217,18581.3913043478,0,-0.298260869565217,-0.9,41158,2021-08-28,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-09,4,28154.0239130435,6416.45869565218,21737.5652173913,0,-0.298260869565217,-0.9,49624,2021-09-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-16,1,6135.59043478261,1694.15565217391,4441.4347826087,0,-0.298260869565217,-0.9,10801,2021-08-21,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-16,2,15526.42,3856.07217391304,11670.347826087,0,-0.298260869565217,-0.9,26710,2021-08-28,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-16,3,19313.2804347826,5575.97608695652,13737.3043478261,0,-0.298260869565217,-0.9,34584,2021-09-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-16,4,19764.712173913,6923.45130434783,12841.2608695652,0,-0.211304347826087,-0.8,36855,2021-09-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-23,1,5198.34521739131,1692.60608695652,3505.73913043478,0,-0.211304347826087,-0.8,9444,2021-08-28,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-23,2,7908.74173913044,3872.26347826087,4036.47826086957,0,-0.0373913043478261,-0.6,14927,2021-09-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-23,3,9099.90695652174,5682.90695652174,3417,0,0.0495652173913044,-0.5,16375,2021-09-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-23,4,7498.75217391304,7156.40434782609,342.347826086957,0,0.310434782608696,-0.2,5452,2021-09-18,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-30,1,2121.16869565217,1688.64695652174,432.521739130435,0,0.136521739130435,-0.4,3152,2021-09-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-30,2,4132.24391304348,3875.41782608696,256.826086956522,0,0.310434782608696,-0.2,3493,2021-09-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-30,3,6524.18043478261,5705.18043478261,0,819,0.223478260869565,0.3,7827,2021-09-18,statistical
CovidMetrics-epiBATS,DE,Cases,2021-08-30,4,10204.7639130435,7220.41608695652,0,2984.34782608696,0.136521739130435,0.4,17212,2021-09-25,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-06,1,1693.82913043478,1678.91608695652,0,14.9130434782609,0.397391304347826,0.1,343,2021-09-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-06,2,6500.52565217391,3851.91695652174,0,2648.60869565217,0.0495652173913044,0.5,11946,2021-09-18,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-06,3,11375.8082608696,5668.7647826087,0,5707.04347826087,-0.0373913043478261,0.6,21430,2021-09-25,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-06,4,11190.6582608696,7176.7452173913,0,4013.91304347826,0.0495652173913044,0.5,19906,2021-10-02,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-13,1,5093.67782608696,1674.11260869565,0,3419.5652173913,-0.211304347826087,0.8,9268,2021-09-18,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-13,2,9892.05608695652,3835.14304347826,0,6056.91304347826,-0.124347826086957,0.7,18483,2021-09-25,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-13,3,9269.9952173913,5633.03869565217,0,3636.95652173913,0.0495652173913044,0.5,16866,2021-10-02,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-13,4,9890.21173913043,7119.08130434783,0,2771.13043478261,0.136521739130435,0.4,16406,2021-10-09,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-20,1,2117.50130434783,1670.11,0,447.391304347826,0.136521739130435,0.4,3182,2021-09-25,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-20,2,3877.88739130435,3832.75695652174,45.1304347826087,0,0.397391304347826,-0.1,1038,2021-10-02,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-20,3,5732.55304347826,5628.64,103.913043478261,0,0.397391304347826,-0.1,2390,2021-10-09,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-20,4,7814.94173913044,7080.68086956522,734.260869565218,0,0.310434782608696,-0.2,8432,2021-10-16,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-27,1,3205.84,1602.57913043478,1603.26086956522,0,-0.0373913043478261,-0.6,6037,2021-10-02,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-27,2,5166.18652173913,3657.49086956522,1508.69565217391,0,0.136521739130435,-0.4,8706,2021-10-09,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-27,3,8640.29391304348,5490.64173913044,3149.65217391304,0,0.0495652173913044,-0.5,15454,2021-10-16,statistical
CovidMetrics-epiBATS,DE,Cases,2021-09-27,4,24754.0895652174,7021.91565217391,17732.1739130435,0,-0.298260869565217,-0.9,44146,2021-10-23,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-04,1,1697.52086956522,1655.47739130435,42.0434782608696,0,0.397391304347826,-0.1,967,2021-10-09,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-04,2,4674.37304347826,3793.76434782609,880.608695652174,0,0.223478260869565,-0.3,6750,2021-10-16,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-04,3,19758.5113043478,5567.29391304348,14191.2173913044,0,-0.298260869565217,-0.9,34960,2021-10-23,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-04,4,61611.4582608696,7006.80608695652,54604.6521739131,0,-0.559130434782609,-1,86383,2021-10-30,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-11,1,2358.28,1646.62782608696,711.652173913044,0,0.136521739130435,-0.4,4026,2021-10-16,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-11,2,19581.487826087,3776.48782608696,15805,0,-0.385217391304348,-0.95,31759,2021-10-23,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-11,3,63527.5726086957,5549.83347826087,57977.7391304348,0,-0.559130434782609,-1,83020,2021-10-30,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-11,4,87105.7173913044,6995.84782608696,80109.8695652174,0,-0.559130434782609,-1,111789,2021-11-06,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-18,1,17610.5147826087,1639.12347826087,15971.3913043478,0,-0.559130434782609,-1,23366,2021-10-23,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-18,2,59825.2791304348,3758.62695652174,56066.6521739131,0,-0.559130434782609,-1,73023,2021-10-30,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-18,3,81850.1213043478,5523.33869565217,76326.7826086957,0,-0.559130434782609,-1,101244,2021-11-06,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-18,4,162702.839565217,6980.97,155721.869565217,0,-0.559130434782609,-1,187239,2021-11-13,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-25,1,32116.1395652174,1666.35695652174,30449.7826086957,0,-0.559130434782609,-1,37967,2021-10-30,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-25,2,47768.5604347826,3848.95173913044,43919.6086956522,0,-0.559130434782609,-1,61283,2021-11-06,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-25,3,125694.150434783,5668.80260869565,120025.347826087,0,-0.559130434782609,-1,145599,2021-11-13,statistical
CovidMetrics-epiBATS,DE,Cases,2021-10-25,4,199794.537826087,7177.45086956522,192617.086956522,0,-0.559130434782609,-1,224997,2021-11-20,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-01,1,19356.1191304348,1830.24956521739,17525.8695652174,0,-0.559130434782609,-1,25783,2021-11-06,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-01,2,93380.2843478261,4113.80608695652,89266.4782608696,0,-0.559130434782609,-1,107825,2021-11-13,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-01,3,166512.986521739,6106.16043478261,160406.826086957,0,-0.559130434782609,-1,187953,2021-11-20,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-01,4,227262.479130435,7807.78347826087,219454.695652174,0,-0.559130434782609,-1,254678,2021-11-27,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-08,1,61261.8960869565,1913.46130434783,59348.4347826087,0,-0.559130434782609,-1,67980,2021-11-13,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-08,2,119388.143913043,4197.70913043478,115190.434782609,0,-0.559130434782609,-1,134128,2021-11-20,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-08,3,173178.633043478,6315.41565217391,166863.217391304,0,-0.559130434782609,-1,195354,2021-11-27,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-08,4,153526.057391304,8217.14434782609,145308.913043478,0,-0.559130434782609,-1,182379,2021-12-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-15,1,32636.3956521739,2065.78695652174,30570.6086956522,0,-0.559130434782609,-1,39890,2021-11-20,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-15,2,53038.8086956522,4810.98260869565,48227.8260869565,0,-0.559130434782609,-1,69932,2021-11-27,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-15,3,22495.1395652174,7542.09608695652,14953.0434782609,0,-0.211304347826087,-0.8,41058,2021-12-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-15,4,14069.7452173913,10125.4843478261,0,3944.26086956522,0.136521739130435,0.4,23338,2021-12-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-22,1,24372.4665217391,2089.59695652174,22282.8695652174,0,-0.559130434782609,-1,31710,2021-11-27,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-22,2,8429.52043478261,4999.43347826087,0,3430.08695652174,0.0495652173913044,0.5,15486,2021-12-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-22,3,59757.6469565217,8022.47304347826,0,51735.1739130435,-0.559130434782609,1,87927,2021-12-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-22,4,134336.330869565,10978.6786956522,0,123357.652173913,-0.559130434782609,1,172886,2021-12-18,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-29,1,9172.50913043478,2246.55260869565,0,6925.95652173913,-0.298260869565217,0.9,15725,2021-12-04,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-29,2,48973.0465217391,5473.87260869565,0,43499.1739130435,-0.559130434782609,1,68193,2021-12-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-29,3,108022.040869565,8509.60608695652,0,99512.4347826087,-0.559130434782609,1,137902,2021-12-18,statistical
CovidMetrics-epiBATS,DE,Cases,2021-11-29,4,198363.291304348,11219.6826086957,0,187143.608695652,-0.559130434782609,1,237759,2021-12-25,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-06,1,31401.2956521739,2172.07826086957,0,29229.2173913043,-0.559130434782609,1,39028,2021-12-11,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-06,2,78308.0939130435,5090.87652173913,0,73217.2173913044,-0.559130434782609,1,96184,2021-12-18,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-06,3,163276.494782609,8106.53826086957,0,155169.956521739,-0.559130434782609,1,191741,2021-12-25,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-06,4,137898.642173913,10998.9465217391,0,126899.695652174,-0.559130434782609,1,176519,2022-01-01,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-20,1,56252.6660869565,2317.23130434783,0,53935.4347826087,-0.559130434782609,1,64389,2021-12-25,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-20,2,15629.4434782609,5668.92173913044,0,9960.52173913044,-0.211304347826087,0.8,28900,2022-01-01,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-20,3,93982.5026086957,9023.50260869565,84959,0,-0.559130434782609,-1,125667,2022-01-08,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-20,4,212993.427391304,12167.6013043478,200825.826086957,0,-0.559130434782609,-1,255718,2022-01-15,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-27,1,28314.3717391304,2399.11086956522,25915.2608695652,0,-0.559130434782609,-1,36739,2022-01-01,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-27,2,189389.150434783,5951.84608695652,183437.304347826,0,-0.559130434782609,-1,210288,2022-01-08,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-27,3,321368.152173913,9603.9347826087,311764.217391304,0,-0.559130434782609,-1,355105,2022-01-15,statistical
CovidMetrics-epiBATS,DE,Cases,2021-12-27,4,595195.330869565,12914.6786956522,582280.652173913,0,-0.559130434782609,-1,641359,2022-01-22,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-03,1,108843.917391304,2498.56956521739,106345.347826087,0,-0.559130434782609,-1,117617,2022-01-08,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-03,2,208903.79,6169.96391304348,202733.826086957,0,-0.559130434782609,-1,230568,2022-01-15,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-03,3,461178.677826087,9614.19956521739,451564.47826087,0,-0.559130434782609,-1,494937,2022-01-22,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-03,4,780100.632173913,12658.6756521739,767441.956521739,0,-0.559130434782609,-1,824549,2022-01-29,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-10,1,68990.8213043478,2764.95173913044,66225.8695652174,0,-0.559130434782609,-1,78699,2022-01-15,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-10,2,274573.836956522,6930.35869565217,267643.47826087,0,-0.559130434782609,-1,298908,2022-01-22,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-10,3,564014.259130435,11083.5634782609,552930.695652174,0,-0.559130434782609,-1,602932,2022-01-29,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-10,4,762189.325217391,14939.3252173913,747250,0,-0.559130434782609,-1,814646,2022-02-05,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-17,1,193200.751304348,2735.53391304348,190465.217391304,0,-0.559130434782609,-1,202806,2022-01-22,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-17,2,473565.490869565,7175.44739130435,466390.043478261,0,-0.559130434782609,-1,498761,2022-01-29,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-17,3,706043.88,11754.88,694289,0,-0.559130434782609,-1,747319,2022-02-05,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-17,4,776427.816521739,15577.207826087,760850.608695652,0,-0.559130434782609,-1,831124,2022-02-12,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-24,1,124180.106086957,3162.58434782609,121017.52173913,0,-0.559130434782609,-1,135285,2022-01-29,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-24,2,79365.4404347826,8737.31,70628.1304347826,0,-0.559130434782609,-1,110045,2022-02-05,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-24,3,44781.87,16414.9134782609,0,28366.9565217391,-0.211304347826087,0.8,82954,2022-02-12,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-24,4,309669.339130435,25684.1217391304,0,283985.217391304,-0.559130434782609,1,399854,2022-02-19,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-31,1,65480.4686956522,1821.4252173913,63659.0434782609,0,-0.559130434782609,-1,71876,2022-02-05,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-31,2,20915.1347826087,3399.2652173913,0,17515.8695652174,-0.472173913043478,0.98,32445,2022-02-12,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-31,3,238686.409130435,4961.1047826087,0,233725.304347826,-0.559130434782609,1,256106,2022-02-19,statistical
CovidMetrics-epiBATS,DE,Cases,2022-01-31,4,402222.80826087,6495.85173913044,0,395726.956521739,-0.559130434782609,1,425032,2022-02-26,statistical
DSMPG-bayes,CZ,Cases,2021-03-15,1,6473.72565217391,3865.72565217391,0,2608,-0.0373913043478261,0.6,11324,2021-03-20,semi
DSMPG-bayes,DE,Cases,2021-03-15,1,5442.39782608696,5400.31086956522,0,42.0869565217391,0.397391304347826,0.1,968,2021-03-20,semi
DSMPG-bayes,FR,Cases,2021-03-15,1,17868.7843478261,4578.87130434783,13289.9130434783,0,-0.211304347826087,-0.8,32414,2021-03-20,semi
DSMPG-bayes,CZ,Cases,2021-03-15,2,13248.2617391304,8338.04434782609,0,4910.21739130435,-0.0373913043478261,0.6,20675,2021-03-27,semi
DSMPG-bayes,DE,Cases,2021-03-15,2,14059.7552173913,12847.7552173913,1212,0,0.310434782608696,-0.2,13962,2021-03-27,semi
DSMPG-bayes,FR,Cases,2021-03-15,2,45902.1160869565,7153.81173913044,38748.3043478261,0,-0.298260869565217,-0.9,76717,2021-03-27,semi
DSMPG-bayes,CZ,Cases,2021-03-15,3,20653.1886956522,14776.9713043478,0,5876.21739130435,-0.0373913043478261,0.6,27763,2021-04-03,semi
DSMPG-bayes,DE,Cases,2021-03-15,3,31431.6469565217,28116.7773913044,0,3314.86956521739,0.223478260869565,0.3,27896,2021-04-03,semi
DSMPG-bayes,FR,Cases,2021-03-15,3,24892.4447826087,10308.4882608696,14583.9565217391,0,-0.0373913043478261,-0.6,47617,2021-04-03,semi
DSMPG-bayes,CZ,Cases,2021-03-15,4,32265.1426086957,24974.8382608696,0,7290.30434782609,-0.0373913043478261,0.6,33969,2021-04-10,semi
DSMPG-bayes,DE,Cases,2021-03-15,4,61139.8517391304,58617.5473913044,0,2522.30434782609,0.310434782608696,0.2,30787,2021-04-10,semi
DSMPG-bayes,FR,Cases,2021-03-15,4,14568.7669565217,13747.8973913044,820.869565217391,0,0.310434782608696,-0.2,10496,2021-04-10,semi
DSMPG-bayes,DE,Cases,2021-03-22,1,6938.13695652174,6905.52826086957,32.6086956521739,0,0.397391304347826,-0.1,750,2021-03-27,semi
DSMPG-bayes,FR,Cases,2021-03-22,1,31725.63,6688.89086956522,25036.7391304348,0,-0.298260869565217,-0.9,55391,2021-03-27,semi
DSMPG-bayes,PL,Cases,2021-03-22,1,17877.9626086957,6220.6147826087,0,11657.347826087,-0.211304347826087,0.8,31493,2021-03-27,semi
DSMPG-bayes,DE,Cases,2021-03-22,2,28415.9265217391,16041.2743478261,0,12374.652173913,-0.124347826086957,0.7,47571,2021-04-03,semi
DSMPG-bayes,FR,Cases,2021-03-22,2,13758.8665217391,10612.5186956522,3146.34782608696,0,0.136521739130435,-0.4,21366,2021-04-03,semi
DSMPG-bayes,PL,Cases,2021-03-22,2,52262.3726086957,20415.0247826087,0,31847.347826087,-0.211304347826087,0.8,87943,2021-04-03,semi
DSMPG-bayes,DE,Cases,2021-03-22,3,44632.2152173913,33147.8673913044,0,11484.347826087,0.0495652173913044,0.5,61608,2021-04-10,semi
DSMPG-bayes,FR,Cases,2021-03-22,3,18219.612173913,15554.3513043478,0,2665.26086956522,0.223478260869565,0.3,21005,2021-04-10,semi
DSMPG-bayes,PL,Cases,2021-03-22,3,148500.135217391,47361.0047826087,0,101139.130434783,-0.385217391304348,0.95,227108,2021-04-10,semi
DSMPG-bayes,DE,Cases,2021-03-22,4,73206.2873913043,61807.7221739131,0,11398.5652173913,0.136521739130435,0.4,76915,2021-04-17,semi
DSMPG-bayes,FR,Cases,2021-03-22,4,47528.7852173913,21078.6982608696,26450.0869565217,0,-0.0373913043478261,-0.6,92688,2021-04-17,semi
DSMPG-bayes,PL,Cases,2021-03-22,4,224149.100869565,88148.7965217391,0,136000.304347826,-0.385217391304348,0.95,330519,2021-04-17,semi
DSMPG-bayes,CZ,Cases,2021-03-29,1,1534.11304347826,1477.41739130435,0,56.6956521739131,0.310434782608696,0.2,1020,2021-04-03,semi
DSMPG-bayes,DE,Cases,2021-03-29,1,34696.4665217391,6528.03173913044,0,28168.4347826087,-0.472173913043478,0.98,54414,2021-04-03,semi
DSMPG-bayes,FR,Cases,2021-03-29,1,51804.0439130435,9956.91347826087,0,41847.1304347826,-0.472173913043478,0.98,79634,2021-04-03,semi
DSMPG-bayes,CZ,Cases,2021-03-29,2,2441.36434782609,2301.19043478261,0,140.173913043478,0.310434782608696,0.2,1898,2021-04-10,semi
DSMPG-bayes,DE,Cases,2021-03-29,2,39943.5108695652,15310.3804347826,0,24633.1304347826,-0.211304347826087,0.8,70462,2021-04-10,semi
DSMPG-bayes,FR,Cases,2021-03-29,2,114936.703043478,20815.8769565217,0,94120.8260869565,-0.559130434782609,1,166421,2021-04-10,semi
DSMPG-bayes,CZ,Cases,2021-03-29,3,2955.69913043478,2917.82956521739,0,37.8695652173913,0.397391304347826,0.1,871,2021-04-17,semi
DSMPG-bayes,DE,Cases,2021-03-29,3,54915.5639130435,30224.8247826087,0,24690.7391304348,-0.124347826086957,0.7,93391,2021-04-17,semi
DSMPG-bayes,FR,Cases,2021-03-29,3,62878.1139130435,37078.94,0,25799.1739130435,-0.0373913043478261,0.6,103415,2021-04-17,semi
DSMPG-bayes,CZ,Cases,2021-03-29,4,3415.10956521739,3401.41391304348,0,13.695652173913,0.397391304347826,0.1,315,2021-04-24,semi
DSMPG-bayes,DE,Cases,2021-03-29,4,93901.0660869565,52939.7617391304,0,40961.3043478261,-0.124347826086957,0.7,149870,2021-04-24,semi
DSMPG-bayes,FR,Cases,2021-03-29,4,175184.653043478,58538.5226086957,0,116646.130434783,-0.385217391304348,0.95,268953,2021-04-24,semi
