team_name,model_name,model_abbr,model_contributors,methods,data_inputs,methods_long,model_type,unsure,unsure_explanation,links
UMass-Amherst,SemiMech,UMass-SemiMech,"Graham Gibson, Evan Ray, Dan Sheldon",Bayesian semi-compartmental model with observations on incident case counts,JHU -CSSEGISandData,See GitHub for full description,mechanistic,1,"definitely not purely statistical, but maybejust mechanistic?",https://github.com/dsheldon/covid/blob/master/docs/Bayesian%20SEIRD%20Model.pdf
UMass-Amherst,MechBayes,UMass-MechBayes,"Dan Sheldon, Graham Gibson,",Bayesian compartmental model with observations on cumulative case counts,JHU -CSSEGISandData,See GitHub for full description,mechanistic,,,
Centre for Modelling of Biological and Social Processes,SeirFilterLite,bisop-seirfilterlite,"Martin  m d, Jan Trnka, V t Tu ek, Milan Zaj ek",A simple stochastic SEIR state space model,"John Hopkins data, Google Mobility Recors","A variant of SeirFilter (https://www.medrxiv.org/content/10.1101/2021.02.16.21251834v1) with compartnents S-E-Ia-Ip-Is-R-D where Ia are the asymptomatic, Ip the presymptomatic and Is the symptomatic. Only past data and the Google mobility indices used as inputs, the variability of R0 (virus variant, vaccination, seasonality) is handled via its estimation from past. In particular, R0 is estimated by the weighted time-average of reproduction number  (computed as R(t)=(C(t) - C(t-7))/(C(t-5)-C(t-12))) divided by the estimated number of contacts (obtained from the Google mobilty indices).",mechanistic,0,,
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiExpert Rt (epiforecasts),epiforecasts-EpiExpert_Rt,"Nikos Bosse , Sam Abbott , Sebastian Funk",Mean ensemble of human predictions of Rt which get mapped to cases and deaths using a renewal equation,ECDC deaths and cases,Forecasts of Rt from experts and non-experts are elicited using a shinyApp. ,other/semi,0,,
Epiforecasts / London School of Hygiene and Tropical Medicine,EpiExpert Direct (epiforecasts),epiforecasts-EpiExpert_direct,"Nikos Bosse , Sam Abbott , Sebastian Funk",Mean ensemble of human predictions,ECDC deaths and cases,Forecasts from experts and non-experts are elicited using a shinyApp. ,other,0,,
"Masaryk University
","ARIMA
","MUNI-ARIMA
","Andrea Kraus, David Kraus 
","ARIMA model with outlier detection fitted to transformed weekly aggregated series.
","JHU CSSE
","This is an ARIMA model with outlier detection fitted to transformed weekly aggregated series.
",statistical,0,,
"Karlen Working Group
","python Population Modeller
","Karlen-pypm
","Dean Karlen (University of Victoria and TRIUMF) 
","Discrete-time difference equations with long periods of constant transmission rate
","JHU (cases and deaths), Google open-data (vaccinations), GISAID (genomic data)
",,mechanistic,1,no idea,https://arxiv.org/pdf/2007.07156.pdf
"Masaryk University
","VAR
","MUNI-VAR
","Andrea Kraus, David Kraus 
","Vector autoregression model fitted to outlier-corrected transformed weekly aggregated series.
","JHU CSSE
","This is a vector autoregression model fitted to outlier-corrected transformed weekly aggregated series.
",statistical,0,,
"Masaryk University
","LaggedRegARIMA
","MUNI-LaggedRegARIMA
","Andrea Kraus, David Kraus 
","Regression of hospitalizations and deaths on lagged cases with ARIMA errors.
","JHU CSSE, ECDC
","This is a regression of hospitalizations and deaths on lagged cases with ARIMA errors applied to outlier-corrected transformed weekly aggregated series. Forecasts of the predictor series of cases (and their uncertainty) are obtained from a univariate ARIMA model.
",statistical,0,,
epiforecasts,weeklygrowth,epiforecasts-weeklygrowth,Sam Abbott (London School of Hygiene and Tropical Medicine) ,"A Bayesian autoregressive model using weekly incidence data, application of the forecast.vocs R package.",Reported cases by date of report aggregated to weeks.,A Bayesian autoregressive model using weekly incidence data designed to run as a Github action. Both cases and the growth rate are assumed to be AR(1) processes with the growth rate being differenced and scaled by a decay parameter. The model is implemented using the forecast.vocs R package (https://epiforecasts.io/forecast.vocs). The analysis code is available at https://github.com/seabbs/ecdc-weekly-growth-forecasts,statistical,0,,
prolix,euclidean,prolix-euclidean,Lo c Pottier ( ducation Nationale) loic.pottier@gmail.com,"Offsets obtained by correlations, best linear approximation of reproduction rates (using vaccination  approximation) by least euclidean distance, and linear prediction. ",,,semi,1,"no mention of compartmental structure in associated paper, but clearly somehow relies on epidemiological concepts (most notably the effective reproduction number R)",https://www.medrxiv.org/content/10.1101/2021.04.13.21255418v1
"Department of Mathematics and Statistics Masaryk University Team
","SEIAR
","MUNI_DMS-SEIAR
","Veronika Eclerova, Lenka Pribylova
","SEIAR model with A compartment of absent unobserved infected estimated from hospital data with incorporated mobility data dependence; optimized to the compartment of all exposed (unobserved included)
","UZIS data for predictive models (anonymized set modely_05_datumy.csv of confirmed subjects https://onemocneni-aktualne.mzcr.cz/api/account/dokumentace), google mobility reports (https://github.com/ActiveConclusion/COVID19_mobility/tree/master/google_reports)
","This is a model based on a mechanistic compartmental approach, where some parameters are taken from literature, some parameters are estimated from an anonymized dataset of confirmed subjects. It estimates moving ascertainment rate using data of hospitalized subjects (using a proportion of cases not caught before admission to hospital), so it estimates not only the observed part of the epidemic (compartment I) but also the undetected absent infected (compartment A). The model incorporates transmission rate estimate dependence on mobility data and immunization after vaccination and optimizes affected clusters size to estimate all exposed individuals using the moving ascertainment rate estimate. To model deaths, we incorporated fixed time delay from positivity report to death estimated from data. Currently, we assume around 0.44% IFR, a simple division of the age structure 0-20/20-65/65+ is used. The model estimates continuously from the first outbreak (spring 2020), the prevalence corresponds to the Czech prevalence study from May 2020 as well as to December community test screenings. We incorporated dominance of alpha variant at the beginning of the year 2021 by multiplying the transmission rate by 1.5 (the estimate is based on data that reveal evidence on its dependence on the number of risk contacts - study PAQ research https://zivotbehempandemie.cz/kontakty or mobility data). With the dominance of alpha variant we increased the probability of hospitalization by factor 1.3 and the conditional probability of death in case of hospitalization by factor 1.1. There is a significant decline of death rate of 65+ cohort in hospitals from the second half of March.  We started to adjust its value to estimated 0.36% daily decrease based on fit to data of hospitalized positive subjects (starting form submission 2021-05-10). Thanks to time series of vaccinated we could compare two different estimates of the probability of hospitalization and we deduced that we underestimated the prob. of hospitalization and overestimated the size of the affected clusters, and that 1/100 (starting from 2021-03-15) now seems more appropriate than 1/160 (starting from submission 2021-06-07). We incorporated dominance of delta variant. We assume the transmisibility of the delta varinant is 1.4 times higher than the alpha variant (submissions 2021-07-12, 2021-07-19). Starting from submission 2021-07-26 during the summer time we work again without incresed transmissibility of the delta variant. Starting from 2021-09-25 we increased the transmissibility of the delta variant to 1.8 times higher value than the alpha variant value. Starting from 2021-12-20 we gradually increased the viruss transmissibility according to the ratio of the omicron variant in discriminated PCRs with a multiplicative coefficient 2.61 according to delta variant. We started to decrease the probability of hospitalization and death proportionally. We changed the model from SEIAR to SEIARS.  We submit a single calibration to forecast deaths and cases while the prediction intervals are estimated using time series decomposition. Especially, we subtract a deterministic trend given by the SEIARS model.",mechanistic,0,,
Centre for Modelling of Biological and Social Processes,SeirFilter,bisop-seirfilter,"Martin  m d, Jan Trnka, V t Tu ek, Milan Zaj ek",please see https://www.medrxiv.org/content/10.1101/2021.02.16.21251834v1,please see https://www.medrxiv.org/content/10.1101/2021.02.16.21251834v1,please see https://www.medrxiv.org/content/10.1101/2021.02.16.21251834v1,mechanistic,0,,https://www.medrxiv.org/content/10.1101/2021.02.16.21251834v1
Frankfurt Institute for Advanced Studies &amp,"Core Model, Germany",FIAS_FZJ-Epi1Ger,FIAS_FZJ-Epi1Ger,"Maria V. Barbarossa ,",An extended SEIR model with additional compartments for undetected cases,"An extended SEIR model with additional compartments for undetected cases is fit using multiple segments to the available data for reported cases and then to reported deaths. The parametrization of the last fit is used to forecast incidental and cumulative deaths. Confidence intervals are determined using Monte Carlo sampling of the parameter space.""",mechanistic,0,1,maybe semi? 
Fraunhofer Institute for Industrial Mathematics ITWM,ITWM,itwm-dSEIR,"Jan Mohring , Neele Leith user, Michael Helmling","cohort based, integral equation",RKI,"""Fraunhofer-ITWM's predictions are based on a cohort model that groups people according to four age groups and according to the status infected, detected and successfully vaccinated. The dynamics of the epidemic are described by integral equations. In particular, we assume an infectious period with fixed onset, end and infectivity. The most important parameters are contact rates between age groups, detection rates and times, and death rates and times. They are adjusted to the historical data of the RKI. For forecasts, the simulation is continuedwith the parameters determined for the last week. In principle, the forecast quality could still be improved by anticipating the effects of events such as the end of public holidays on contact and detection rates. However, this is not yet done in the automatic submissions. All calculations use automatic differentiation. This speeds up parameter adjustment and allows for error estimates. The latter are determined by comparing counted and simulated cases and by matching the empirical standard deviations with the standard deviations predicted by the calculated sensitivities. The model is described in detail in https://www.itwm.fraunhofer.de/de/presse-publikationen/presseinformationen/2021/2021-06-22_Dritte_Welle_Starker-Effekt-von-Schnelltests-an-Schulen.html""",mechanistic,0,,
ITWW,county_repro,ITWW-county_repro,"Przemyslaw Biecek , Viktor Bezborodov , Marcin Bodych , Jan Pablo Burgard , Stefan Heyder , Thomas Hotz , Tyll Kr ger ",Forecasts of county level incidence based on regional reproduction numbers.,"RKI, ECDC, Polish patient data, county level incidences by age group, distribution for time to death and proportion of deaths in each age group","New states are added to the SEIR model to account for cases that went undetected, and an explicit death state is included. The infection rate is corrected with a nonlinear curve that represents the governmental and societal response (which is assumed) to continue until the end of the pandemic). Key parameters for the disease are fixed using a metanalysis conducted by the CovidAnalytics group of over 150 parameters while epidemiological parameters are fitted to hisorical death counts and detected cases.",mechanistic,0,,
CovidAnalytics at MIT,DELPHI,MIT_CovidAnalytics-DELPHI,"Michael Lingzhi Li (Model Creator and Maintainer), Hamza Tazi Bouardi (Maintainer), Dimitris Bertsimas (Advisor). For a full list of general contributors to the team, see https://www.covidanalytics.io/team.",This model makes predictions for future cases based on a heavily modified SEIR model taking,"JHU, New York Times",This model makes predictions for future cases based on a heavily modified SEIR model.,mechanistic,0,,
UNIPV Periscope Working Group ,Bayesian Time-varying INGARCH with NPI covariates,UNIPV-BayesINGARCHX,"Paolo Giudici (University of Pavia) , Barbara Tarantino (University of Pavia) .",Bayesian estimation of time-dependent models with time-varying coefficients to predict COVID-19 positive counts. ,"JHU (confirmed cases), OxCGRT (NPI covariates) ","Our model accounts for uncertainty via a Bayesian framework, for time-dependence on past COVID-19 counts via an INGARCH structure and non-linearity via time-varying coefficients. In addition, time-lagged NPI covariates have been coded and incorporated into the Bayesian framework to assess whether policy measures can effectively reduce positive counts. ",statistical,0,,
Universitaet Leipzig IMISE/GenStat,SECIR,LeipzigIMISE-SECIR,"Yuri Kheifetz , Holger Kirsten , Markus Scholz ",SECIR type model,"RKI and DIVI, ECDC, age distributions for cases and deaths from RKI as described in methods, case &amp; ICU  &amp; death counts","We integrate an adapted mechanistic epidemiologic model of the SECIR type into Input-Output Non-Linear Dynamical Systems (IO-NLDS) serving as hidden layers, i.e. the true dynamics cannot directly be observed. Thereby, we include an asymptomatic compartment, a compartment of patients requiring intensive care, and subdivide most of the compartments into three sub-compartments to model time delays.  Changing factors of the system due to non-pharmaceutical interventions, changing age-structure of infected population, and changes in testing policy are imposed as inputs to the system. We then estimate parameters by a knowledge synthesis process considering parameter ranges derived from external studies and public data. Specifically, we use Bayesian inference for the parameters  estimation, which can also be time-dependent. Public data is translated to model outputs not identical but related to hidden states of the model. The model is fitted to data by a full information approach.",mechanistic,1,maybe semi?,
Helmholtz Zentrum fuer Infektionsforschung,age-structured and extended SEIR model ,HZI-AgeExtendedSEIR," Isti Rodiah , Berit Lange  , Pratizio Vanella, Alexander Kuhlmann, Wolfgang Bock",Deterministic SEIR type model,"RKI (reported cases, reported deaths)","This model is an extended SEIR model with additional compartments for the hospitalized, intensive unit, long-COVID, and death. The model is also developed as an age-structured model. The model is fitted to reported cases and reported cumulative deaths. The fitted parameters are used to predict the number of cases and deaths.",mechanistic,0,,
University of Cologne Covid Metrics,CovidMetrics-epiBATS,CovidMetrics-epiBATS," Tom Zimmermann (University of Cologne) , Arne Rodloff (University of Cologne) ","Forecasts are based on TBATS - models (DeLivera, Hyndman and Snyder (2011)) and are updated daily for each German state.",,"Forecasts are based on TBATS - models (DeLivera, Hyndman und Snyder (2011)) and are updated daily for each German state. Final models are based on comparing multiple models and selecting the best-performing model based on AIC in historical data.
  The models forecast the 7-day incidence. The forecasting model is the same that is used at our website below.",statistical,0,,
KITmetricslab,bivar_branching,KITmetricslab-bivar_branching,Johannes Bracher (Karlsruhe Institute of Technology) ,"Delta-variant and other cases are modelled as independent branching processes, with weekly growth","JHU (confirmed cases), RKI sequencing data (variants)","The total weekly incidence is modelled as the sum of two independent overdispersed branching processes (delta / non-delta cases; may be updated to other pairs of variants later), with the weekly growth rates following multiplicative random walks. Sequencing data are included via an additional binomial observation process with the probabilities for the two variants proportional to their occurrence in the two latent branching processes. Posterior samples are generated using the JAGS software. Priors were chosen as 'uninformative' uniform distributions, but may be specified in a more informative fashion in the future. In order to be included in the ensemble forecasts are generated up to 4 wk into the future, but given the simple model structure, three and four-week-ahead forecasts should be interpreted with caution.""",semi,1,maybe semi?,
UB,BSLCoV v0.1,UB-BSLCoV,David Mori a (UB) ,Bayesian synthetic likelihood estimation for underreported non-stationary time series,JHU (https://github.com/epiforecasts/covid19-forecast-hub-europe/wiki/Targets-and-horizons#truth-data),,statistical,0,,
ICM / University of Warsaw,agentModel,ICM-agentModel,"Rafa  Bartczuk,  ukasz G rski, Magdalena Gruziel-S omka, Artur Kaczorek, Jan Kisielewski, Antoni Moszy ski, Karol Niedzielewski , J drzej Nowosielski, Maciej Radwan, Franciszek Rakowski, Marcin Semeniuk, Jakub Zieli ski",Agent-based model,"Polish Ministry of Health (general epidemic data: number of cases, deaths, etc.) and Polish National Institute for Public Health (Detailed epidemic data: time of hospitalization, age, symptoms, contact tracing etc.)",The main idea behind our agent-based model is a representation of the social structure of population of Poland to the level of individual citizen and its social contacts. Our model has resolution in space and contexts. It means it can follow development of epidemic on geographical grid in 1x1km resolution as well as through physical contact in various characteristic contexts of social life.,other,1,not sure where agent-based models go,
"Faculty of Mathematics, Informatics, and Mechanics, University of Warsaw
","StochSEIR
","MIMUW-StochSEIR
","Anna Gambin, Krzysztof Gogolewski, Bla ej Miasojedow, Ewa Szczurek, Daniel Rabczenko, Magdalena Rosi ska
","Extended SEIR model
","tba
","SEIR model with extensions:  introduction of the undiagnosed compartment; testing limits 
influencing number of diagnosed cases; stochastic perturbations of time-dependent contact rate",mechanistic,0,,
MOCOS group,agent1,MOCOS-agent1,"Marek Bawiec, Marcin Bodych, Tyll Krueger, Tomasz Ozanski, Barbara Pabjan, Agata Migalska, Przemyslaw Biecak, Viktor Bezborodov, Ewa Szczurek, Ewaryst Rafaj owicz, Ewa Rafaj owicz, Wojciech Rafaj owicz ",Agent-based microsimulation model,tba,Agent based model. Continuous time stochastic microsimulation on the base of census data ,other,1,not sure where agent-based models go,
"Grzegorz Redlarski
","Sum of districts forecasts
","PL_GRedlarski-DistrictsSum
","Grzegorz Redlarski (GUMed) 
","Modified SIR method, applied to all districts. Forecasts for districts are summed up.
","data provided by the Ministry of Health https://wojewodztwa-rcb-gis.hub.arcgis.com/pages/dane-do-pobrania
","Generating forecasts for all districts including historical data analysis. Then the numbers of cases from all districts are summed up.
",mechanistic,0,,
"University of Ljubljana, Faculty of Health Sciences Team",ULZF-SEIRC19SI,ULZF-SEIRC19SI,"Janez Zibert (University of Ljubljana, Faculty of Health Sciences) ","SEIHR model extended with compartments for hospitals, intensive care units, asymptomatic cases, separate submodels for vaccinated and unvaccinated, divided to 5 age subgroups of population","COVID-19-sledilnik, https://covid-19.sledilnik.org/en/",,mechanistic,0,,
